Country,ODBRank,ODB_Score_Scaled,ODB_Score_Change,Rank_Change,Readiness_Scaled,Implementation_Scaled,Impact_Scaled,Readiness_Policies_Scaled,Readiness_Action_Scaled,Readiness_Civil_Scaled,Readiness_Business_Scaled,Readiness_Rank,Implementation_Innovation_Scaled,Implementation_Social_Scaled,Implementation_Accountability_Scaled,Implementation_Datasets_Average,Implementation_Rank,Impact_Political_Scaled,Impact_Social_Scaled,Impact_Economic_Scaled,Impact_Rank
United Kingdom,1,100,0,0,99,100,94,100,95,86,97,2,94,86,93,91,1,82,55,81,3
Canada,2,89.54,9.19,2,96,87,82,92,100,96,81,3,87,66,86,79.67,2,63,90,43,8
France,3,85.13,3.48,-1,100,71,88,95,96,100,94,1,77,70,52,66.33,5,90,55,62,5
United States of America,4,81.62,-0.27,-2,96,71,80,93,92,81,100,4,84,63,51,66,7,55,70,62,9
Korea,5,81.16,9.97,3,95,59,100,96,93,91,85,5,62,59,48,56.33,14,91,80,66,1
Australia,5,81.15,13.16,5,85,78,78,81,94,84,72,9,79,76,61,72,3,45,75,61,11
New Zealand,7,79.38,3.03,-1,92,58,99,93,89,96,77,7,53,63,50,55.33,16,81,100,55,2
Japan,8,75.16,11.66,5,84,60,89,77,83,85,78,10,67,60,44,57,12,82,80,51,4
Netherlands,8,74.95,-0.18,-1,94,64,68,85,82,99,97,6,59,63,60,60.67,10,63,50,47,16
Norway,10,73.81,13.21,7,77,71,73,81,64,84,71,16,86,70,43,66.33,6,92,20,58,13
Mexico,11,73.45,11.69,5,83,58,88,83,85,83,70,12,58,58,49,55,17,100,60,51,6
Spain,11,73.36,9.01,2,81,58,88,69,91,88,68,13,60,61,46,55.67,15,56,40,100,7
Denmark,13,70.52,-6.1,-8,67,71,71,54,71,73,64,24,71,87,42,66.67,4,63,45,58,14
Austria,14,70.22,6.04,-1,83,56,78,78,91,81,72,11,73,47,40,53.33,19,64,85,39,10
Sweden,14,69.84,0.58,-5,87,70,47,72,87,100,78,8,72,80,45,65.67,8,29,50,32,20
Germany,14,69.52,4.73,-3,67,69,71,57,70,85,53,23,76,64,55,65,9,55,55,55,15
Uruguay,17,60.85,2.73,2,75,64,38,66,70,96,64,18,66,56,58,60,11,64,15,16,26
Brazil,18,58.86,-2.3,-1,66,55,59,69,67,67,55,25,53,55,49,52.33,20,91,40,16,17
Switzerland,19,57.46,2.82,1,77,50,48,80,56,86,77,17,61,59,26,48.67,26,37,35,39,19
Italy,20,55.93,2.15,1,79,51,37,78,76,80,74,15,39,63,47,49.67,24,55,0,32,27
Finland,20,55.89,-9.56,-9,63,60,42,65,69,70,44,27,55,77,38,56.67,13,37,10,47,23
Philippines,22,54.7,17.76,14,58,41,76,69,52,62,48,34,59,28,36,41,37,73,75,35,12
Singapore,23,52.69,1.24,1,73,46,41,82,73,39,85,19,58,57,21,45.33,29,36,30,31,24
Colombia,24,51.65,6.26,4,72,42,46,85,70,79,48,20,51,42,33,42,36,73,25,16,21
Russia,25,48.53,17.04,16,60,54,27,67,67,41,61,30,60,59,36,51.67,22,19,0,39,35
Ireland,26,47.44,0.91,1,70,51,17,78,56,86,56,21,62,51,34,49,25,10,10,19,47
Chile,26,47.41,4.44,4,62,56,16,48,63,80,55,28,60,51,50,53.67,18,28,0,11,49
Israel,28,46.26,2.55,1,66,37,42,67,53,76,61,26,50,39,23,37.33,43,38,10,47,22
Belgium,29,45.28,-7.34,-7,79,38,20,72,80,85,72,14,41,39,35,38.33,39,10,0,32,42
Slovakia,29,44.9,7.74,7,59,43,34,59,42,84,50,32,52,26,50,42.67,34,63,0,20,31
Czech Republic,31,44.44,-4.71,-5,54,44,36,73,45,66,35,40,66,32,33,43.67,33,46,20,20,29
Moldova,31,43.68,5.25,2,55,54,14,60,55,72,36,38,59,61,36,52,21,27,0,7,55
India,33,42.8,8.82,5,68,32,35,77,63,63,62,22,29,48,23,33.33,51,17,20,40,30
Portugal,34,41.89,0.51,-3,58,47,16,43,55,76,57,33,67,60,11,46,28,27,10,4,50
Kenya,35,40.42,10.55,7,57,22,58,52,57,54,59,37,15,37,21,24.33,67,63,45,31,18
Greece,36,38.94,0.46,-3,59,38,20,56,62,78,39,31,38,39,38,38.33,40,37,0,12,41
Iceland,36,38.87,-13.86,-14,48,47,17,35,50,74,35,50,56,49,33,46,27,9,0,28,46
Indonesia,38,38.35,6.54,2,51,39,25,41,61,65,37,47,54,42,22,39.33,38,45,10,8,36
Argentina,38,37.51,13.73,14,57,35,23,39,66,71,49,36,45,39,23,35.67,45,19,0,31,38
Georgia,40,37.44,20.65,20,52,45,11,35,49,78,47,43,36,67,29,44,32,29,0,0,66
Bulgaria,40,37.14,,,51,45,11,54,54,59,36,48,18,61,54,44.33,30,18,0,7,68
Jamaica,40,36.95,15.3,13,44,35,36,40,32,55,50,58,37,46,24,35.67,46,17,30,34,28
Turkey,40,36.88,9.82,7,35,53,15,28,24,53,41,70,46,64,42,50.67,23,18,10,7,52
Estonia,44,36.31,-14.32,-20,49,45,10,46,41,81,31,49,44,57,32,44.33,31,0,0,20,69
Ukraine,44,35.96,19.89,18,55,35,19,46,65,65,43,39,34,23,50,35.67,47,19,10,16,43
South Africa,46,34.43,7.66,1,51,28,29,24,50,74,57,46,30,24,36,30,59,19,30,20,32
Poland,46,33.95,-6,-14,61,24,23,56,63,82,45,29,33,22,24,26.33,64,10,20,23,37
Peru,48,33.33,4.4,-4,47,38,14,42,49,65,33,54,27,50,37,38,41,28,0,7,53
Macedonia,48,32.58,-5.55,-15,57,29,13,60,46,71,51,35,30,42,21,31,56,9,20,4,56
Albania,50,32.43,,,54,37,4,59,34,84,41,41,25,46,41,37.33,42,10,0,0,82
Dominican Republic,50,32.21,,,45,32,22,41,37,54,47,57,35,42,23,33.33,50,28,0,23,39
Tunisia,50,32.17,-1.2,-11,45,32,22,24,50,75,35,56,35,30,35,33.33,52,36,10,8,40
Paraguay,53,28.07,12.08,9,35,33,16,27,39,45,34,72,45,17,40,34,49,37,0,4,51
Malaysia,53,28.06,3.46,-2,53,20,19,66,50,34,58,42,21,34,13,22.67,71,17,25,4,45
Latvia,53,27.89,,,34,43,0,17,31,58,35,74,34,53,40,42.33,35,0,0,0,101
Bolivia,53,27.87,,,33,36,13,37,34,43,24,76,38,48,23,36.33,44,19,15,0,57
Thailand,53,27.55,11.56,9,40,31,11,44,40,29,48,63,13,50,35,32.67,54,9,10,8,64
Croatia,58,26.75,,,52,24,8,45,47,75,42,45,28,31,20,26.33,63,10,0,8,70
Mauritius,59,26.3,3.97,-6,38,33,6,39,32,45,40,65,33,56,13,34,48,0,0,11,79
United Arab Emirates,59,26.17,-0.83,-12,47,23,12,57,54,11,63,52,20,34,23,25.67,66,17,0,11,61
Kazakhstan,59,26.1,6.01,-3,39,32,6,43,52,22,40,64,29,46,24,33,53,0,10,4,77
Ghana,59,25.96,15.77,11,52,11,28,43,48,63,53,44,9,25,11,15,90,28,15,23,33
Guatemala,63,23.72,,,32,29,11,16,27,54,36,80,25,44,23,30.67,57,29,0,0,67
Kosovo,63,23.67,,,47,21,7,29,55,63,42,53,38,22,11,23.67,68,19,0,0,72
Hungary,65,23.3,-2.24,-15,21,31,19,12,17,41,23,99,37,51,9,32.33,55,29,15,4,44
Serbia,65,22.77,,,44,25,0,27,41,69,41,60,19,37,26,27.33,62,0,0,0,110
Tanzania,67,21.73,10.96,2,40,17,14,44,48,37,34,62,13,40,9,20.67,75,28,0,7,54
Burkina Faso,67,21.63,11.51,3,31,16,28,23,29,55,23,82,11,34,13,19.33,76,47,15,8,34
Ecuador,67,21.62,-8.67,-25,37,27,0,38,38,41,33,68,33,22,33,29.33,60,0,0,0,97
Nigeria,70,20.97,6.84,-3,31,7,41,25,27,40,37,81,13,11,11,11.67,102,19,45,31,25
Costa Rica,71,19.87,-8.65,-27,25,28,6,33,20,41,15,89,24,36,30,30,58,10,0,4,80
China,71,19.64,-1.52,-16,46,10,11,39,61,39,45,55,13,23,8,14.67,92,9,10,8,63
Rwanda,71,19.62,-7.93,-25,29,27,3,60,22,20,19,83,34,21,31,28.67,61,9,0,0,88
Qatar,74,19.26,2.73,-14,41,18,2,69,31,7,54,61,20,39,6,21.67,73,0,0,4,92
Bahrain,74,18.91,0.77,-17,33,20,7,41,45,0,46,77,26,18,26,23.33,69,17,0,0,75
Saudi Arabia,74,18.66,0.94,-17,37,15,12,62,45,2,38,69,32,15,8,18.33,79,0,15,11,62
Trinidad and Tobago,77,17.99,,,38,12,13,30,28,47,47,67,13,22,13,16,87,18,0,11,60
Panama,77,17.9,,,44,15,0,52,28,58,41,59,21,13,21,18.33,78,0,0,0,107
Morocco,79,16.86,0.69,-17,38,12,7,33,44,43,34,66,13,23,13,16.33,86,10,0,7,71
Vietnam,79,16.79,-1.51,-22,25,18,13,34,23,18,31,90,18,19,26,21,74,18,15,0,59
Ethiopia,81,16.14,9.51,-3,47,9,0,47,47,49,46,51,9,22,9,13.33,95,0,0,0,98
Togo,81,15.65,,,23,24,0,29,24,28,19,93,6,47,26,26.33,65,0,0,0,112
Nepal,83,15.49,2.4,-15,23,14,17,13,27,42,18,95,8,7,39,18,81,9,15,16,48
Montenegro,83,14.54,,,33,13,4,29,28,50,29,78,17,25,9,17,83,10,0,0,84
Egypt,85,13.89,5.15,-10,27,14,6,21,26,30,36,85,13,20,21,18,80,0,10,4,76
El Salvador,85,13.88,,,20,20,4,12,19,40,19,100,36,22,11,23,70,10,0,0,83
Kyrgyzstan,87,13.24,,,23,13,11,18,21,41,20,97,11,26,13,16.67,85,10,10,7,65
Jordan,87,12.58,2.26,-17,28,11,6,36,26,17,35,84,13,20,13,15.33,89,0,0,11,78
Saint Lucia,87,12.53,-2.12,-21,33,10,0,37,26,43,33,75,20,13,11,14.67,93,0,0,0,108
DR Congo,90,12.38,,,35,9,0,28,32,30,52,73,24,9,7,13.33,94,0,0,0,96
Venezuela,90,11.62,4.83,-12,15,19,4,5,14,23,26,105,29,28,9,22,72,10,0,0,87
Uganda,90,11.59,1.67,-20,26,11,4,28,24,37,22,87,24,11,12,15.67,88,10,0,0,86
Côte d’Ivoire,93,11.48,,,35,7,0,17,46,46,36,71,13,11,11,11.67,101,0,0,0,100
Belarus,93,10.95,,,27,10,2,29,24,14,43,86,18,13,13,14.67,91,0,0,4,90
Bangladesh,93,10.57,3.52,-15,32,6,2,43,36,32,23,79,15,9,9,11,104,0,0,4,89
Malawi,93,10.51,3.12,-15,8,16,13,15,9,19,1,113,20,29,9,19.33,77,19,15,0,58
Tajikistan,97,9.7,,,15,14,4,25,8,14,23,103,16,29,9,18,82,0,10,0,81
Namibia,98,9.08,1.73,-20,25,8,0,28,15,29,35,88,10,8,21,13,97,0,0,0,105
Senegal,98,8.74,-1.59,-28,24,9,0,31,15,35,21,92,18,11,11,13.33,96,0,0,0,109
Sierra Leone,100,8.47,3.02,-14,23,5,7,32,8,49,12,96,8,11,11,10,108,19,0,0,73
Palestine,100,8.24,,,23,7,2,21,20,20,35,94,10,13,13,12,99,0,0,4,91
Bosnia and Herzegovina,100,8.02,,,24,7,0,4,15,55,31,91,11,11,13,11.67,100,0,0,0,94
Benin,103,7.32,-1.15,-27,13,13,0,12,2,37,15,108,19,20,11,16.67,84,0,0,0,93
Haiti,104,6.27,6.27,-12,19,6,0,12,27,13,31,101,9,7,18,11.33,103,0,0,0,99
Botswana,104,5.89,-0.62,-26,21,4,0,38,11,25,19,98,9,11,9,9.67,110,0,0,0,95
Lebanon,104,5.82,,,17,7,0,5,21,13,35,102,7,20,9,12,98,0,0,0,102
Cameroon,107,5.15,-1.42,-29,12,5,7,20,5,10,23,109,10,11,9,10,107,18,0,0,74
Zambia,108,3.82,-1.09,-22,14,5,0,23,11,20,11,107,8,11,11,10,109,0,0,0,114
Pakistan,108,3.59,-2.64,-23,15,4,0,15,13,19,21,104,13,5,9,9,113,0,0,0,106
Mozambique,110,3.46,-4.68,-34,14,4,0,16,8,27,16,106,9,10,9,9.33,111,0,0,0,104
Mali,111,2.46,-1.52,-23,12,3,0,22,0,25,13,110,8,10,8,8.67,114,0,0,0,103
Zimbabwe,111,1.87,-1.51,-21,9,4,0,11,7,18,11,112,7,10,11,9.33,112,0,0,0,115
Myanmar,113,1.33,-2.23,-25,2,5,4,8,3,11,0,114,8,15,9,10.67,106,10,0,0,85
Swaziland,114,0.28,,,10,0,0,11,8,16,14,111,6,7,5,6,115,0,0,0,111
Yemen,114,0,-1.43,-23,0,6,0,0,2,8,4,115,6,16,11,11,105,0,0,0,113